DATE,VISIBILITY,DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip
2020-01-08 12:00,10,50,45,40,50,5,180,1015,1020,0
2020-01-08 12:01,12,52,46,41,52,4,190,1016,1021,0
2020-01-08 12:02,15,53,47,42,54,6,170,1014,1019,0
2020-01-08 12:03,8,48,44,39,49,7,175,1017,1022,0
2020-01-08 12:04,20,55,48,43,55,3,160,1013,1018,0
2020-01-08 12:05,18,54,47,42,53,5,165,1014,1019,0
2020-01-08 12:06,22,56,49,44,56,4,180,1012,1017,0
2020-01-08 12:07,9,49,45,40,51,6,185,1016,1021,0
2020-01-08 12:08,14,51,46,41,52,5,170,1015,1020,0
2020-01-08 12:09,16,52,47,42,53,4,175,1014,1019,0
